Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 37 11461 0 0 0 0 0 533 0 0 0 0 0
Linnhe 0 661 0 0 0 0 0 712 0 0 0 0 0
Bagh_a_Tuath 0 0 1620 0 0 0 0 0 0 0 0 0 0
Portree 0 0 0 249852 0 0 0 0 0 0 0 0 0
Applecross 0 0 0 0 277 3277 0 0 0 6 0 0 0
Torridon 0 0 0 0 0 2172 0 0 0 61 0 0 0
Sunart 0 0 0 0 0 0 75352 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 62061 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 157981 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 4811 311 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128960 0 0
na_Cairidh 0 0 0 117968 2 0 0 0 0 0 0 0 10136
Sligachan 0 0 0 176990 0 0 0 0 0 0 0 0 24142
